Trial,N,structure_instance_num,structure,num_X_vars,g,g_level,randomize_update_seq,b_distro,b_0_is_zero,normalize_bs,error_variance,normalize_yis,uninformed_rate,g_rate,MA_R2_Adj__t_100,MA-p_value__t_100,Outliers_Dropped__t_100,Max_Y__100,Max_Corr_Y__100,Classification__t_100,MA_R2_Adj__t_250,MA-p_value__t_250,Outliers_Dropped__t_250,Max_Y__250,Max_Corr_Y__250,Classification__t_250,MA_R2_Adj__t_500,MA-p_value__t_500,Outliers_Dropped__t_500,Max_Y__500,Max_Corr_Y__500,Classification__t_500
21,500,8,Scale-Free #1b,24,125,N/4,True,N01,True,network,2.0,True,0.1,0.25,0.0395636,0.0,1.0,100.90799999999999,0.30095500000000003,Not Linear,0.110917,0.0,3.0,109.48100000000001,0.27666599999999997,Not Linear,0.0634069,0.0,3.0,102.072,0.23283800000000002,Not Linear
22,500,5,Erdos-Renyi Random #2a,95,125,N/4,True,N01,True,network,2.0,False,0.0,0.25,,0.0,4.0,103.887,0.376205,Invalid,,0.0,6.0,95.5295,0.401325,Invalid,,0.0,4.0,82.2141,0.420455,Invalid
23,500,11,Random k-out (k=3) #a,3,5,5,True,U-11,True,network,1.0,False,0.1,0.01,0.16053599999999998,1.0,4.0,51.9953,0.39135,Not Linear,0.150844,1.0,5.0,64.0324,0.342457,Not Linear,0.102602,1.0,4.0,43.6553,0.20712600000000003,Not Linear
24,100,6,Erdos-Renyi Random #2b,41,5,5,True,U-11,True,network,1.0,True,0.1,0.05,0.580511,1.0,6.0,23.2216,0.438385,Linear,0.57214,1.0,3.0,28.34,0.381216,Linear,0.5785640000000001,1.0,2.0,29.4402,0.441543,Linear
25,500,8,Scale-Free #1b,24,125,N/4,False,U01,True,agent,2.0,True,0.1,0.25,0.9740209999999999,1.0,7.0,576.315,0.968575,Linear,0.968778,1.0,4.0,608.248,0.974087,Linear,0.977767,1.0,2.0,808.039,0.9788110000000001,Linear
26,500,4,Erdos-Renyi Random #1b,44,500,N,False,U-11,True,agent,2.0,False,0.25,1.0,,0.0,99.0,2.3416300000000013e+301,,Invalid,,0.0,,,,Invalid,,0.0,,,,Invalid
27,100,11,Random k-out (k=3) #a,3,5,5,False,U-11,True,agent,2.0,False,0.0,0.05,0.999827,1.0,42.0,2.0592800000000006e+124,-0.0,Linear,,0.0,71.0,1.3583500000000006e+239,,Invalid,,0.0,98.0,1.851140000000001e+237,,Invalid
28,100,2,Directed Random Tree (Reversed),1,5,5,False,U-11,True,agent,1.0,True,0.25,0.05,0.718305,1.0,4.0,41.7592,0.818163,Linear,0.732539,1.0,2.0,46.8737,0.855785,Linear,0.730132,1.0,4.0,36.9272,0.8302510000000001,Linear
29,500,12,Random k-out (k=3) #b,3,500,N,True,U01,True,network,2.0,True,0.25,1.0,0.434274,1.0,0.0,105.185,0.562769,Not Linear,0.454991,1.0,0.0,131.454,0.45151800000000003,Not Linear,0.46198999999999996,1.0,0.0,81.6095,0.355319,Not Linear
30,100,4,Erdos-Renyi Random #1b,18,25,N/4,True,U01,True,network,1.0,False,0.0,0.25,0.28178600000000004,1.0,2.0,23.1049,0.46140299999999995,Not Linear,0.334194,1.0,1.0,27.2145,0.478045,Not Linear,0.271185,1.0,2.0,22.892,0.521331,Not Linear
31,500,13,Random k-out (k=10) #a,10,5,5,True,U-11,True,agent,2.0,False,0.1,0.01,,0.0,46.0,1.4711200000000009e+237,,Invalid,,0.0,,,,Invalid,,0.0,,,,Invalid
32,100,7,Scale-Free #1a,4,5,5,True,U-11,True,agent,2.0,True,0.1,0.05,0.559606,1.0,12.0,136.614,0.698863,Linear,0.45546099999999995,1.0,12.0,199.386,0.6507689999999999,Not Linear,0.5225810000000001,1.0,15.0,159.959,0.6757380000000001,Linear
33,500,10,Scale-Free #2b,7,500,N,False,U-11,False,no,1.0,True,0.1,1.0,0.014063299999999997,0.0,2.0,69.2515,0.0545606,Not Linear,0.030800599999999997,0.0,0.0,71.7954,0.333862,Not Linear,0.0131548,0.0,1.0,59.3898,0.145655,Not Linear
34,500,7,Scale-Free #1a,12,125,N/4,False,N01,False,agent,1.0,False,0.1,0.25,1.0,1.0,47.0,7.990250000000001e+70,0.0,Invalid,1.0,1.0,63.0,2.31649e+126,0.0,Invalid,,0.0,76.0,3.624690000000001e+215,,Invalid
35,500,12,Random k-out (k=3) #b,3,5,5,False,N01,False,no,1.0,False,0.1,0.01,0.47348999999999997,1.0,41.0,5.84873e+48,0.117477,Not Linear,0.9872209999999999,1.0,44.0,1.7404600000000006e+120,0.0,Linear,,0.0,44.0,2.312440000000001e+239,,Invalid
36,100,4,Erdos-Renyi Random #1b,18,5,5,False,N01,False,agent,2.0,True,0.1,0.05,0.32753899999999997,1.0,27.0,1236.88,0.536542,Not Linear,0.40108,1.0,24.0,1718.84,0.377933,Not Linear,0.326108,1.0,27.0,1457.8,0.46264799999999995,Not Linear
37,500,9,Scale-Free #2a,5,125,N/4,True,N01,False,no,2.0,True,0.1,0.25,0.055304599999999995,1.0,2.0,143.733,0.34671399999999997,Not Linear,0.036313599999999994,0.0,3.0,136.345,0.167597,Not Linear,0.0667615,1.0,2.0,101.571,0.22222199999999998,Not Linear
38,500,5,Erdos-Renyi Random #2a,95,125,N/4,True,N01,False,no,1.0,False,0.0,0.25,,0.0,,,,Invalid,,0.0,,,,Invalid,,0.0,,,,Invalid
39,500,8,Scale-Free #1b,24,5,5,True,N01,False,agent,1.0,False,0.1,0.01,1.0,1.0,49.0,2.26487e+32,0.95342,Invalid,1.0,1.0,46.0,9.473120000000001e+78,0.0,Invalid,1.0,1.0,59.0,6.764450000000002e+125,0.0,Invalid
40,500,5,Erdos-Renyi Random #2a,95,5,5,True,N01,False,agent,1.0,True,0.1,0.01,,0.0,22.0,33890.1,0.43545900000000004,Invalid,,0.0,28.0,38551.9,0.30472,Invalid,,0.0,25.0,57514.4,0.332021,Invalid
41,100,11,Random k-out (k=3) #a,3,100,N,False,U-11,False,no,1.0,True,0.0,1.0,0.41075200000000006,1.0,2.0,35.0377,0.411112,Not Linear,0.371179,1.0,1.0,43.132,0.41239,Not Linear,0.524117,1.0,0.0,45.1924,0.519546,Linear
