Trial,N,structure_instance_num,g,randomize_update_seq,b_distro,b_0_is_zero,normalize_bs,error_variance,normalize_yis,uninformed_rate
118,500,14,5,True,U-11,True,no,1,False,0.25
119,100,7,5,True,U-11,True,no,0.5,True,0.1
120,500,9,125.0,False,U01,True,no,1,True,0
121,500,5,500,False,U-11,True,no,0.5,False,0.25
122,100,10,5,False,U-11,True,no,1,False,0
123,500,2,5,False,U-11,True,no,1,True,0.25
124,100,13,100,True,U-11,True,agent,1,True,0.25
125,100,2,100,True,U-11,True,no,0.5,False,0.1
126,100,12,1,True,U-11,True,agent,0.5,False,0.1
127,100,3,1,True,U01,True,no,1,True,0.1
128,500,8,125.0,False,U-11,False,agent,1,False,0.1
129,500,3,5,True,U-11,True,no,0.5,False,0.25
130,1000,9,1,True,U-11,True,no,0.5,True,0.1
131,1000,6,1000,True,U01,True,no,0.5,True,0.1
132,500,12,125.0,True,U-11,True,no,0.5,False,0.1
133,500,7,5,False,U01,True,no,1,False,0
134,500,9,1,False,U01,True,agent,0.5,True,0.1
135,1000,6,250.0,False,U-11,True,no,1,True,0.1
136,500,13,125.0,False,U01,True,agent,1,False,0.25
137,1000,7,1,True,U-11,True,agent,0.5,False,0.1
138,500,13,1,True,N01,True,agent,1,True,0.1
139,1000,2,250.0,True,U-11,True,no,1,True,0.1
140,1000,12,1000,True,U-11,True,no,1,False,0
141,500,2,5,False,U-11,True,agent,1,False,0
142,1000,10,5,False,N01,True,no,1,True,0.25
143,500,6,500,False,N01,True,no,1,True,0
144,500,10,125.0,False,U-11,True,no,0.5,False,0.1
145,500,7,5,True,U01,False,agent,1,False,0.1
146,500,10,5,True,U-11,False,no,1,True,0
147,1000,4,250.0,True,U01,False,no,0.5,True,0.25
148,1000,11,250.0,True,U-11,False,no,0.5,False,0.1
149,500,7,5,False,U01,False,no,0.5,False,0.1
150,500,10,5,False,U01,False,no,0.5,True,0.25
151,500,4,125.0,False,U-11,False,no,1,True,0.1
152,1000,9,250.0,False,U-11,False,no,1,False,0.1
153,500,7,5,True,N01,False,agent,0.5,False,0.1
154,500,11,1,True,U-11,False,agent,0.5,True,0
155,1000,4,250.0,True,U-11,False,agent,0.5,True,0.25
156,1000,13,250.0,True,U-11,False,agent,1,False,0
157,500,3,1,False,N01,False,no,0.5,False,0
158,1000,11,5,False,N01,False,agent,1,True,0.25
159,500,2,125.0,False,U-11,False,agent,0.5,True,0.1
160,1000,8,250.0,False,U-11,False,agent,0.5,False,0.1
